state,district,date,sex,age,ethnicity,population
Johor,Batu Pahat,2020/1/1,both,overall,overall,495.3
Johor,Batu Pahat,2020/1/1,female,overall,overall,233.7
Johor,Batu Pahat,2020/1/1,male,overall,overall,261.6
Johor,Johor Bahru,2020/1/1,both,overall,overall,1711.2
Johor,Johor Bahru,2020/1/1,female,overall,overall,803.9
Johor,Johor Bahru,2020/1/1,male,overall,overall,907.3
Johor,Kluang,2020/1/1,both,overall,overall,323.8
Johor,Kluang,2020/1/1,female,overall,overall,144.4
Johor,Kluang,2020/1/1,male,overall,overall,179.3
Johor,Kota Tinggi,2020/1/1,both,overall,overall,222.4
Johor,Kota Tinggi,2020/1/1,female,overall,overall,104
Johor,Kota Tinggi,2020/1/1,male,overall,overall,118.4
Johor,Kulai,2020/1/1,both,overall,overall,329.5
Johor,Kulai,2020/1/1,female,overall,overall,151.8
Johor,Kulai,2020/1/1,male,overall,overall,177.7
Johor,Mersing,2020/1/1,both,overall,overall,78.2
Johor,Mersing,2020/1/1,female,overall,overall,36.3
Johor,Mersing,2020/1/1,male,overall,overall,41.9
Johor,Muar,2020/1/1,both,overall,overall,314.8
Johor,Muar,2020/1/1,female,overall,overall,141.5
Johor,Muar,2020/1/1,male,overall,overall,173.3
Johor,Pontian,2020/1/1,both,overall,overall,173.3
Johor,Pontian,2020/1/1,female,overall,overall,80.1
Johor,Pontian,2020/1/1,male,overall,overall,93.2
Johor,Segamat,2020/1/1,both,overall,overall,197.8
Johor,Segamat,2020/1/1,female,overall,overall,94.6
Johor,Segamat,2020/1/1,male,overall,overall,103.2
Johor,Tangkak,2020/1/1,both,overall,overall,163.4
Johor,Tangkak,2020/1/1,female,overall,overall,78.2
Johor,Tangkak,2020/1/1,male,overall,overall,85.2
Kedah,Baling,2020/1/1,both,overall,overall,142.6
Kedah,Baling,2020/1/1,female,overall,overall,69.5
Kedah,Baling,2020/1/1,male,overall,overall,73.1
Kedah,Bandar Baharu,2020/1/1,both,overall,overall,44.4
Kedah,Bandar Baharu,2020/1/1,female,overall,overall,21.7
Kedah,Bandar Baharu,2020/1/1,male,overall,overall,22.7
Kedah,Kota Setar,2020/1/1,both,overall,overall,374.1
Kedah,Kota Setar,2020/1/1,female,overall,overall,187.9
Kedah,Kota Setar,2020/1/1,male,overall,overall,186.1
Kedah,Kuala Muda,2020/1/1,both,overall,overall,545
Kedah,Kuala Muda,2020/1/1,female,overall,overall,265
Kedah,Kuala Muda,2020/1/1,male,overall,overall,280
Kedah,Kubang Pasu,2020/1/1,both,overall,overall,237.8
Kedah,Kubang Pasu,2020/1/1,female,overall,overall,120.4
Kedah,Kubang Pasu,2020/1/1,male,overall,overall,117.3
Kedah,Kulim,2020/1/1,both,overall,overall,337.7
Kedah,Kulim,2020/1/1,female,overall,overall,164.7
Kedah,Kulim,2020/1/1,male,overall,overall,173
Kedah,Langkawi,2020/1/1,both,overall,overall,94.1
Kedah,Langkawi,2020/1/1,female,overall,overall,45.4
Kedah,Langkawi,2020/1/1,male,overall,overall,48.7
Kedah,Padang Terap,2020/1/1,both,overall,overall,65.7
Kedah,Padang Terap,2020/1/1,female,overall,overall,31.5
Kedah,Padang Terap,2020/1/1,male,overall,overall,34.2
Kedah,Pendang,2020/1/1,both,overall,overall,98.9
Kedah,Pendang,2020/1/1,female,overall,overall,46.4
Kedah,Pendang,2020/1/1,male,overall,overall,52.5
Kedah,Pokok Sena,2020/1/1,both,overall,overall,49.8
Kedah,Pokok Sena,2020/1/1,female,overall,overall,22.6
Kedah,Pokok Sena,2020/1/1,male,overall,overall,27.2
Kedah,Sik,2020/1/1,both,overall,overall,67.9
Kedah,Sik,2020/1/1,female,overall,overall,33.3
Kedah,Sik,2020/1/1,male,overall,overall,34.7
Kedah,Yan,2020/1/1,both,overall,overall,73.4
Kedah,Yan,2020/1/1,female,overall,overall,35.7
Kedah,Yan,2020/1/1,male,overall,overall,37.7
Kelantan,Bachok,2020/1/1,both,overall,overall,157.3
Kelantan,Bachok,2020/1/1,female,overall,overall,81.1
Kelantan,Bachok,2020/1/1,male,overall,overall,76.2
Kelantan,Gua Musang,2020/1/1,both,overall,overall,101.9
Kelantan,Gua Musang,2020/1/1,female,overall,overall,47.1
